id,stage
11_40_52,train
5_45_763,train
4_41_749,train
10_14_186,train
10_9_466,train
10_35_263,train
13_22_138,train
0_3_23,train
13_34_197,train
4_34_278,train
3_5_209,train
10_29_428,train
10_27_386,train
7_49_450,train
10_21_170,train
2_37_682,train
3_15_236,train
5_38_757,train
2_47_674,train
8_20_506_,train
4_36_252,train
12_32_120,train
6_19_797,train
10_24_301,train
10_22_416,train
10_2_291,train
4_42_282,train
12_35_96,train
10_39_318,train
1_4_652,train
6_21_388,train
7_45_436,train
3_6_240,train
9_9_567,train
2_7_685,train
10_12_410,train
10_5_212,train
8_1_488,train
10_2_339,train
0_4_60,train
6_29_789,train
10_29_17,train
10_0_437,train
8_7_847,train
6_22_781,train
3_30_221,train
6_13_362,train
2_27_691,train
8_30_852,train
10_22_103,train
6_2_785,train
10_11_37,train
7_39_462,train
10_9_281,train
12_19_82,train
6_26_390,train
10_11_294,train
3_26_236,train
2_20_126,train
2_48_158,train
10_14_74,train
0_27_634,train
3_33_210,train
2_23_694,train
10_1_378,train
9_43_576,train
10_25_39,train
4_51_297,train
0_24_18,train
9_33_562,train
3_21_710,train
10_7_151,train
9_28_572,train
8_37_497,train
10_20_452,train
1_17_659,train
13_37_169,train
13_22_173,train
5_8_754,train
11_11_14,train
2_40_125,train
4_40_278,train
4_28_251,train
13_35_194_,train
11_22_65_,train
10_9_113,train
10_24_418,train
10_21_206,train
1_45_87,train
1_45_118,train
11_34_52,train
10_22_289,train
10_8_108,train
0_0_622,train
6_6_785,train
2_41_171,train
11_21_24_,train
10_12_36,train
8_26_849,train
1_26_645,train
13_18_150,train
9_49_573,train
1_30_179,train
8_42_846,train
8_37_508,train
7_24_471,train
3_38_244_,train
10_29_387,train
6_10_783,train
8_3_837,train
0_40_613,train
7_5_429,train
10_12_146,train
5_11_319,train
1_36_119,train
5_27_329,train
0_5_631,train
2_42_167,train
12_38_125,train
11_21_35_,train
10_20_170,train
3_41_216,train
7_43_430,train
13_29_160,train
10_26_321,train
9_17_576,train
2_40_130,train
2_17_179,train
10_6_135,train
12_11_107,train
10_25_11,train
9_0_855,train
0_26_34,train
10_4_103,train
10_30_40,train
10_26_115,train
13_33_188,train
0_25_35,train
10_34_461,train
9_8_530,train
11_30_9,train
8_37_492,train
1_31_654,train
12_8_94,train
11_1_62,train
1_45_183,train
10_32_285,train
10_25_411,train
0_39_613,train
13_47_198,train
3_5_197,train
7_16_806,train
5_23_416,train
10_31_282,train
2_31_694,train
3_39_216,train
13_24_151,train
11_2_64,train
5_22_347,train
6_3_391,train
0_31_31,train
1_41_73,train
